merchant_id,merchant_name,city
65b24aee-3480-487b-8a49-8c50e3bcb65b,Ever Cloud Group,Nashville
473e8b4f-7a7d-4e5c-8ea2-2860b88bfcb8,Atlas Health Co,Portland
ba95f11e-ce07-41a7-b6ff-078aafaf1d84,Blue Systems Solutions,Charlotte
db3e32b4-a280-40c7-b2d5-8ef4f5de949a,Blue Analytics Solutions,San Diego
42d0040e-5ffc-47b5-89d0-8bfa567c919e,Nova Supply Group,Jacksonville
a3a8ff49-c950-4356-8a4a-c32bb4a81c94,Silver Foods Holdings,Dallas
9d48030e-0763-49ef-885c-be4743f486d3,Blue Labs Co,Fort Worth
3096f09e-22f0-49cf-b281-bd782e97f374,Peak Foods Group,Denver
f14978d8-67c1-4196-8e66-d6d2a97cf570,Summit Studio Solutions,San Diego
e3f58296-8f5b-4e52-8457-64fc7aae4eb3,Cedar Cloud Partners,Austin
ba321cac-39a4-4e72-a52d-2fa158672b18,Prime Networks Collective,New York
beadfb8e-12e8-4007-ab68-9826ce0c6f2c,Quantum Labs Group,Charlotte
08d8d6c1-736f-4d1d-be09-8ed52e558bac,True Labs Co,San Jose
c477e20d-6ffd-4d23-b181-c72144cf2bb7,Peak Networks Inc,San Jose
38f7cef9-ccfd-439c-8022-1bfa1141e0f4,Peak Health Group,Austin
b144065e-938f-435e-8c22-973e05cd0799,True Logic Collective,Phoenix
5a450a7b-6153-4b2c-9d97-6d9424030c6f,Summit Dynamics Holdings,Jacksonville
7eddf281-90b4-4c70-a9ca-3222f32b0960,Prime Capital Group,Charlotte
935053da-f0a6-44b3-a76a-cd45b0e6f2b0,Vertex Capital Collective,San Antonio
bcb54828-07e9-4764-a820-c98efefa8ecb,True Commerce Collective,Chicago
03f0e5a3-10f5-4eab-941b-d0fe562c9fe5,True Studio Inc,San Diego
49735ebf-ce14-4fbf-b057-c9b2a1299307,Atlas Systems Inc,Houston
0892865d-6762-45dc-9640-cda286435888,Modern Health Co,San Diego
754ab0b2-494c-49cc-b7a4-15b85d260e36,Modern Analytics Collective,Fort Worth
780af507-f09b-45b3-9234-33abe0351cd1,Ever Cloud Co,Chicago
6c3a0a11-6e05-4eef-be90-fa8121d3b705,Apex Systems Partners,Charlotte
642bd748-10cc-485c-a5c9-3141f1572567,Bright Works Holdings,Phoenix
3d36f2c3-b82e-47be-8875-aee0baef3911,Atlas Works Holdings,Boston
